Игра 1: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 2: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 4: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 5: Игрок: paper, Компьютер: rock, Результат: Вы победили!
Игра 7: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 1: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 2: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 3: Игрок: scissors, Компьютер: scissors, Результат: Ничья!
Игра 4: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 5: Игрок: rock, Компьютер: rock, Результат: Ничья!
Игра 13: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 14: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 15: Игрок: rock, Компьютер: scissors, Результат: Вы победили!
Игра 5: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 6: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 7: Игрок: paper, Компьютер: rock, Результат: Вы победили!
Игра 8: Игрок: paper, Компьютер: rock, Результат: Вы победили!
Игра 9: Игрок: paper, Компьютер: rock, Результат: Вы победили!
Игра 10: Игрок: paper, Компьютер: rock, Результат: Вы победили!
Игра 11: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 12: Игрок: rock, Компьютер: scissors, Результат: Вы победили!
Игра 13: Игрок: rock, Компьютер: scissors, Результат: Вы победили!
Игра 1: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 4: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 5: Игрок: paper, Компьютер: rock, Результат: Вы победили!
Игра 6: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 7: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 8: Игрок: rock, Компьютер: scissors, Результат: Вы победили!
Игра 9: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 10: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 11: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 12: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 13: Игрок: scissors, Компьютер: scissors, Результат: Ничья!
Игра 14: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 15: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 16: Игрок: rock, Компьютер: scissors, Результат: Вы победили!
Игра 17: Игрок: rock, Компьютер: scissors, Результат: Вы победили!
Игра 18: Игрок: rock, Компьютер: scissors, Результат: Вы победили!
Игра 1: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 2: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 3: Игрок: scissors, Компьютер: scissors, Результат: Ничья!
Игра 4: Игрок: rock, Компьютер: scissors, Результат: Вы победили!
Игра 5: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 6: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 7: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 8: Игрок: rock, Компьютер: rock, Результат: Ничья!
Игра 9: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 10: Игрок: paper, Компьютер: rock, Результат: Вы победили!
Игра 11: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 12: Игрок: rock, Компьютер: rock, Результат: Ничья!
Игра 13: Игрок: paper, Компьютер: rock, Результат: Вы победили!
Игра 14: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 15: Игрок: rock, Компьютер: rock, Результат: Ничья!
Игра 16: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 17: Игрок: rock, Компьютер: rock, Результат: Ничья!
Игра 18: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 19: Игрок: paper, Компьютер: rock, Результат: Вы победили!
Игра 20: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 21: Игрок: rock, Компьютер: rock, Результат: Ничья!
Игра 22: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 23: Игрок: paper, Компьютер: rock, Результат: Вы победили!
Игра 24: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 25: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 26: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 27: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 28: Игрок: paper, Компьютер: rock, Результат: Вы победили!
Игра 1: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 1: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 1: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 1: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 2: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 3: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 4: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 5: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 6: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 7: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 8: Игрок: paper, Компьютер: paper, Результат: Ничья!
Игра 9: Игрок: scissors, Компьютер: paper, Результат: Вы победили!
Игра 10: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 11: Игрок: scissors, Компьютер: paper, Результат: Вы победили!
Игра 12: Игрок: scissors, Компьютер: paper, Результат: Вы победили!
Игра 13: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 14: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 15: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 16: Игрок: scissors, Компьютер: paper, Результат: Вы победили!
Игра 17: Игрок: scissors, Компьютер: paper, Результат: Вы победили!
Игра 18: Игрок: paper, Компьютер: paper, Результат: Ничья!
Игра 19: Игрок: paper, Компьютер: paper, Результат: Ничья!
Игра 20: Игрок: paper, Компьютер: paper, Результат: Ничья!
Игра 21: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 22: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 23: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 24: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 25: Игрок: scissors, Компьютер: paper, Результат: Вы победили!
Игра 26: Игрок: scissors, Компьютер: paper, Результат: Вы победили!
Игра 27: Игрок: scissors, Компьютер: paper, Результат: Вы победили!
Игра 28: Игрок: scissors, Компьютер: paper, Результат: Вы победили!
Игра 29: Игрок: scissors, Компьютер: paper, Результат: Вы победили!
Игра 30: Игрок: scissors, Компьютер: paper, Результат: Вы победили!
Игра 31: Игрок: scissors, Компьютер: paper, Результат: Вы победили!
Игра 32: Игрок: scissors, Компьютер: paper, Результат: Вы победили!
Игра 33: Игрок: paper, Компьютер: paper, Результат: Ничья!
Игра 34: Игрок: paper, Компьютер: paper, Результат: Ничья!
Игра 35: Игрок: paper, Компьютер: paper, Результат: Ничья!
Игра 36: Игрок: paper, Компьютер: paper, Результат: Ничья!
Игра 37: Игрок: scissors, Компьютер: paper, Результат: Вы победили!
Игра 38: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 39: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 40: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 41: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 42: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 43: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 44: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 45: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 46: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 47: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 48: Игрок: scissors, Компьютер: paper, Результат: Вы победили!
Игра 49: Игрок: scissors, Компьютер: paper, Результат: Вы победили!
Игра 50: Игрок: scissors, Компьютер: paper, Результат: Вы победили!
Игра 1: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 1: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 8: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 9: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 10: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 11: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 12: Игрок: rock, Компьютер: scissors, Результат: Вы победили!
Игра 13: Игрок: rock, Компьютер: scissors, Результат: Вы победили!
Игра 14: Игрок: rock, Компьютер: scissors, Результат: Вы победили!
Игра 1: Игрок: paper, Компьютер: scissors, Результат: Вы проиграли!
Игра 1: Игрок: rock, Компьютер: paper, Результат: Вы проиграли!
Игра 2: Игрок: scissors, Компьютер: paper, Результат: Вы победили!
Игра 3: Игрок: paper, Компьютер: paper, Результат: Ничья!
Игра 4: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 5: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 6: Игрок: paper, Компьютер: rock, Результат: Вы победили!
Игра 7: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 8: Игрок: rock, Компьютер: rock, Результат: Ничья!
Игра 9: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
Игра 10: Игрок: paper, Компьютер: rock, Результат: Вы победили!
Игра 11: Игрок: scissors, Компьютер: rock, Результат: Вы проиграли!
